name,category,aliases,description,photo_url,lat,lng
Library,landmark,,,,7.868352829999999,6.68645056
central for atomspheric research national space research and development agency,faculty,,,,7.86997065,6.684195025
Gate,faculty,,,,7.8534336499999995,6.6841688999999995
Faculty of Education,faculty,,,,7.860977614285715,6.683238928571428
Twin Theatre,faculty,,,,7.862641538095238,6.683211271428573
LT A,faculty,,,,7.8628175250000005,6.6821575125
Faculty of Law,faculty,,,,7.860991841666666,6.68258115
Faculty of Art,faculty,,,,7.859557025,6.683127
E-Learning,faculty,,,,7.863476062499999,6.682229749999999
LT B,faculty,,,,7.8642467,6.6830906500000005
Student Affairs,faculty,,,,7.864242283333334,6.682613861111111
Stadium Seat,landmark,,,,7.856273850000001,6.685199975
Central Mosque,landmark,,,,7.854197053333334,6.6832084
School Clinic,health,,,,7.857591416666666,6.683304183333333
EDS,faculty,,,,7.86090774,6.68415864
Media and Studio,faculty,,,,7.861521922222224,6.684134033333333
Faculty of Management Science,faculty,,,,7.861966056250002,6.682442612499999
Islamic Studies,faculty,,,,7.860309025,6.682538525
St Francisca Hall,landmark,,,,7.8593368,6.6840762499999995
Market,service,,,,7.863574525,6.681353400000001
Security,admin,,,,7.86801475,6.6825532
ICT,admin,,,,7.868938666666668,6.686450600000001
Faculty of Engineering,faculty,,,,7.869647250000001,6.683255075
