name,photo_url,description_override
Clinic,https://qvwgeowgidwzyaztyhdu.supabase.co/storage/v1/object/public/place-photos/building-before-ful-s-clinic-28556e.webp,
central for atomspheric research national space research and development agency,https://qvwgeowgidwzyaztyhdu.supabase.co/storage/v1/object/public/place-photos/central-for-atomspheric-research-national-space-research-and-development-agency-63656e.webp,
Clinic,https://qvwgeowgidwzyaztyhdu.supabase.co/storage/v1/object/public/place-photos/clinic-434c49.webp,
School Gate,https://qvwgeowgidwzyaztyhdu.supabase.co/storage/v1/object/public/place-photos/ful-main-gate-46554c.webp,
School Stadium,https://qvwgeowgidwzyaztyhdu.supabase.co/storage/v1/object/public/place-photos/ful-stadium-46554c.webp,
School Gate,https://qvwgeowgidwzyaztyhdu.supabase.co/storage/v1/object/public/place-photos/gate-676174.webp,
Joseph & Enesi oyeyani makoju memorial lecture theatre,https://qvwgeowgidwzyaztyhdu.supabase.co/storage/v1/object/public/place-photos/joseph-enesi-oyeyani-makoju-memorial-lecture-theatre-4a6f73.webp,
Library,https://qvwgeowgidwzyaztyhdu.supabase.co/storage/v1/object/public/place-photos/library-building-4c6962.webp,
Solar Farm,https://qvwgeowgidwzyaztyhdu.supabase.co/storage/v1/object/public/place-photos/road-leading-to-the-solar-power-plant-524f41.webp,
Security Building,https://qvwgeowgidwzyaztyhdu.supabase.co/storage/v1/object/public/place-photos/security-building-736563.webp,
St Francisca Hall,https://qvwgeowgidwzyaztyhdu.supabase.co/storage/v1/object/public/place-photos/st-francisca-hall-53542e.webp,
Tennis Court,https://qvwgeowgidwzyaztyhdu.supabase.co/storage/v1/object/public/place-photos/volley-ball-court-564f4c.webp,
