name,category,aliases,description,photo_url,lat,lng
School Gate,landmark,Main Gate;Entrance,Felele campus main entrance,,7.853434,6.6841912
Police Station,service,Police;station,Campus Police Station,,7.85225,6.6838488
Tennis Court,sport,Volleyball Court;Tennis Court,School volleyball and tennis court,,7.8559089,6.6835864
School Stadium,landmark,,The school stadium for sports and open events,,7.8564092,6.6852356
School Mosque,landmark,,The school mosque immediately after the gate,,7.8542244,6.6832515
Faculty of Art,faculty,Art;Faculty of art,Art building,,7.8595991,6.6831214
Clinic,health,School clinic;clinic,School clinic and hospital,,7.8576794,6.6833161
St Francisca Hall,service,Church;chapel,St Francisca Hall,,7.8593716,6.6840563
Faculty of Law,faculty,Law building;law;law faculty,Faculty of law,,7.8610107,6.682566
Faculty of Education,faculty,Education;education faculty,Faculty of education,,7.8610266,6.6832151
Faculty of Management Science,faculty,Management science;ms;management science faculty,Faculty of management science,,7.8620075,6.6824426
Toilet,service,Toilet,Toilet behind law,,7.8609735,6.6821691
EDS Building,service,EDS building;EDS,EDS,,7.8609628,6.6842243
Media and Studio,service,Studio,Studio,,7.8615367,6.6841009
School Market,eatery,Market;Eatery;School market,School Market,,7.8635508,6.6813928
Student Affairs,admin,Student affairs;Affairs,School Affairs,,7.8642779,6.6826769
Lecture Theatre B,landmark,LT B,School Lecture theatre/hall B,,7.8642513,6.6831061
Lecture Theatre A,landmark,LT A,School lecture theatre A,,7.8627572,6.6821267
E-Learning Building,landmark,E-Learning;distance learning,School E-learning building,,7.8635065,6.6822287
Twin Lecture Theatre,landmark,Twin theatre,School Twin lecture theatre,,7.8626456,6.6832104
Albertino Art work,landmark,Transformer;art work,School Art work,,7.8654689,6.6838436
Security Building,service,Security building;security post,School Security,,7.8679239,6.6825978
Faculty of Social Science,faculty,Social Science,Social Science building,,7.8632172,6.6829592
Senate Building,admin,Senate;senate building,School senate building,,7.8665285,6.6836877
Admin Building,admin,Admin;admin building,School admin building,,7.8673043,6.6839023
Joseph & Enesi oyeyani makoju memorial lecture theatre,landmark,Memorial lecture theatre;LT,School Memorial lecture theatre,,7.8677013,6.6865898
Library,service,Library;School library,School Library,,7.8684027,6.6863922
ICT,service,ICT;School ICT,School ICT,,7.8689461,6.6863615
Faculty of Pharmacy,faculty,Pharmacy;Pharmacy building,Faculty of pharmacy,,7.8702644,6.6845913
Faculty of Engineering,faculty,Engineering,Faculty of Engineering,,7.8696586,6.6832233
Bus Stop,landmark,Bus stop,School bus transport for Adankolo and Felele.,,7.8674952,6.6830119
Block A,faculty,biotechnology;biochemistry,Block/Building A,,7.8688973,6.6833491
Faculty of Computing,faculty,computing;computer science;statistics;industrial chemistry,Faculty of computING,,7.8686263,6.6849798
central for atomspheric research national space research and development agency,service,atmospheric research;research building,central for atomspheric research national space research and,,7.869984,6.6841752
Toilet,service,Toilet;Bathroom,School Toilet behind ICT,,7.8684068,6.6869193
FSLT 1,landmark,Fslt 1;fslt a,School Faculty of science lecture theatre,,7.868901,6.6837328
FSLT 2,landmark,fslt 2;fslt b,School Faculty of science lecture theatre 2,,7.8689276,6.6849881
Faculty of life science building,faculty,Science;life science,Faculty of life science building,,7.8686034,6.6837347
Girls hostel,landmark,hostel;girls hostel,School girls hostel,,7.870091,6.6797928
Boys hostel,landmark,hostel;boys hostel,School boys hostel,,7.8684571,6.6790525
Block G,faculty,mathematics;geology;economics,"Faculty of Mathematics, Economics & Geology",,7.8689504,6.6853728
Block D,faculty,Zoology;microbiology,"Department of Zoology, microbiology",,7.8689185,6.6841229
Block E,landmark,Chemistry,Department of Chemistry,,7.8689557,6.6845735
Faculty of Agriculture,faculty,agriculture,Faculty of Agriculture,,7.8551166,6.6859744
Zoo,landmark,zoo;farm,School zoo,,7.8572096,6.6879532
Solar Farm,landmark,solar Farm;solar,School Solar Farm,,7.8574816,6.6816641
Islamic Studies,landmark,islamic;islamic studies,School Islamic Studies Building,,7.86035,6.6825028
